Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
8,2026-02-04T19:53:10.120813,1,10,100,40785,N/A
2,2026-02-04T19:53:17.128689,1,10,100,40794,N/A
19,2026-02-04T19:53:23.846440,1,10,100,40821,N/A
9,2026-02-04T19:53:30.567595,1,10,100,40832,N/A
16,2026-02-04T19:53:36.974449,1,10,100,40799,N/A
3,2026-02-04T19:53:43.364182,1,10,100,40823,N/A
1,2026-02-04T19:53:49.590016,1,10,100,40797,N/A
4,2026-02-04T19:53:55.830625,1,10,100,40778,N/A
17,2026-02-04T19:54:02.273879,1,10,100,40807,N/A
12,2026-02-04T19:54:08.723187,1,10,100,40802,N/A
14,2026-02-04T19:54:15.137790,1,10,100,40807,N/A
7,2026-02-04T19:54:21.429846,1,10,100,40803,N/A
15,2026-02-04T19:54:27.768058,1,10,100,40782,N/A
11,2026-02-04T19:54:34.111070,1,10,100,40784,N/A
18,2026-02-04T19:54:40.579218,1,10,100,40798,N/A
20,2026-02-04T19:54:46.869359,1,10,100,40767,N/A
5,2026-02-04T19:54:53.189425,1,10,100,40799,N/A
6,2026-02-04T19:54:59.434705,1,10,100,40809,N/A
13,2026-02-04T19:55:05.783591,1,10,100,40814,N/A
10,2026-02-04T19:55:12.114607,1,10,100,40766,N/A
22,2026-02-04T19:55:18.405657,1,10,100,40756,N/A
21,2026-02-04T19:55:24.791516,1,10,100,40758,N/A
28,2026-02-04T19:55:31.165591,1,10,100,40775,N/A
29,2026-02-04T19:55:37.431510,1,10,100,40794,N/A
27,2026-02-04T19:55:43.658708,1,10,100,40757,N/A
25,2026-02-04T19:55:50.033384,1,10,100,40788,N/A
32,2026-02-04T19:55:56.431477,1,10,100,40763,N/A
23,2026-02-04T19:56:02.800509,1,10,100,40842,N/A
26,2026-02-04T19:56:09.150444,1,10,100,40836,N/A
36,2026-02-04T19:56:15.523515,1,10,100,40798,N/A
33,2026-02-04T19:56:21.936262,1,10,100,40774,N/A
30,2026-02-04T19:56:28.266952,1,10,100,40766,N/A
31,2026-02-04T19:56:34.545473,1,10,100,40793,N/A
37,2026-02-04T19:56:40.919433,1,10,100,40790,N/A
34,2026-02-04T19:56:47.423553,1,10,100,40783,N/A
39,2026-02-04T19:56:53.784297,1,10,100,40758,N/A
24,2026-02-04T19:57:00.139878,1,10,100,40787,N/A
35,2026-02-04T19:57:06.457561,1,10,100,40821,N/A
38,2026-02-04T19:57:12.788614,1,10,100,40749,N/A
40,2026-02-04T19:57:19.144272,1,10,100,40755,N/A
44,2026-02-04T19:57:25.491512,1,10,100,40790,N/A
41,2026-02-04T19:57:31.816893,1,10,100,40778,N/A
45,2026-02-04T19:57:38.109502,1,10,100,40793,N/A
42,2026-02-04T19:57:44.433337,1,10,100,40758,N/A
48,2026-02-04T19:57:50.817978,1,10,100,40803,N/A
43,2026-02-04T19:57:57.172454,1,10,100,40786,N/A
50,2026-02-04T19:58:03.445668,1,10,100,40785,N/A
55,2026-02-04T19:58:09.987509,1,10,100,40758,N/A
47,2026-02-04T19:58:16.460506,1,10,100,40747,N/A
52,2026-02-04T19:58:22.834589,1,10,100,40785,N/A
49,2026-02-04T19:58:29.096251,1,10,100,40748,N/A
51,2026-02-04T19:58:35.321125,1,10,100,40762,N/A
54,2026-02-04T19:58:41.655651,1,10,100,40783,N/A
53,2026-02-04T19:58:47.989512,1,10,100,40762,N/A
46,2026-02-04T19:58:54.299777,1,10,100,40749,N/A
58,2026-02-04T19:59:00.628796,1,10,100,40791,N/A
59,2026-02-04T19:59:07.011674,1,10,100,40776,N/A
56,2026-02-04T19:59:13.341562,1,10,100,40824,N/A
57,2026-02-04T19:59:19.622291,1,10,100,40792,N/A
60,2026-02-04T19:59:25.970757,1,10,100,40792,N/A
61,2026-02-04T19:59:32.246378,1,10,100,40801,N/A
63,2026-02-04T19:59:38.536505,1,10,100,40784,N/A
62,2026-02-04T19:59:44.912359,1,10,100,40753,N/A
64,2026-02-04T19:59:51.254501,1,10,100,40817,N/A
65,2026-02-04T19:59:57.524357,1,10,100,40755,N/A
66,2026-02-04T20:00:03.855316,1,10,100,40797,N/A
67,2026-02-04T20:00:10.147657,1,10,100,40820,N/A
68,2026-02-04T20:00:16.480621,1,10,100,40822,N/A
69,2026-02-04T20:00:22.802766,1,10,100,40789,N/A
70,2026-02-04T20:00:29.225521,1,10,100,40760,N/A
71,2026-02-04T20:00:35.454476,1,10,100,40793,N/A
72,2026-02-04T20:00:41.755698,1,10,100,40767,N/A
73,2026-02-04T20:00:48.037616,1,10,100,40792,N/A
74,2026-02-04T20:00:54.376171,1,10,100,40791,N/A
75,2026-02-04T20:01:00.815269,1,10,100,40823,N/A
76,2026-02-04T20:01:07.198153,1,10,100,40814,N/A
77,2026-02-04T20:01:13.607734,1,10,100,40810,N/A
78,2026-02-04T20:01:19.877597,1,10,100,40779,N/A
79,2026-02-04T20:01:26.151224,1,10,100,40782,N/A
80,2026-02-04T20:01:32.408745,1,10,100,40777,N/A
81,2026-02-04T20:01:38.792203,1,10,100,40791,N/A
82,2026-02-04T20:01:45.165588,1,10,100,40811,N/A
83,2026-02-04T20:01:51.544576,1,10,100,40755,N/A
84,2026-02-04T20:01:57.834390,1,10,100,40833,N/A
85,2026-02-04T20:02:04.065650,1,10,100,40789,N/A
86,2026-02-04T20:02:10.348908,1,10,100,40775,N/A
87,2026-02-04T20:02:16.550682,1,10,100,40805,N/A
88,2026-02-04T20:02:22.981753,1,10,100,40811,N/A
89,2026-02-04T20:02:29.321510,1,10,100,40799,N/A
90,2026-02-04T20:02:35.625988,1,10,100,40774,N/A
91,2026-02-04T20:02:42.011174,1,10,100,40825,N/A
92,2026-02-04T20:02:48.297547,1,10,100,40772,N/A
93,2026-02-04T20:02:54.632167,1,10,100,40808,N/A
94,2026-02-04T20:03:00.969304,1,10,100,40796,N/A
95,2026-02-04T20:03:07.250582,1,10,100,40773,N/A
96,2026-02-04T20:03:13.656228,1,10,100,40778,N/A
97,2026-02-04T20:03:20.057671,1,10,100,40762,N/A
98,2026-02-04T20:03:26.399887,1,10,100,40830,N/A
99,2026-02-04T20:03:32.718944,1,10,100,40783,N/A
