Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
8,2026-02-04T19:53:14.393796,1,10,100,21774,N/A
2,2026-02-04T19:53:21.073046,1,10,100,21740,N/A
19,2026-02-04T19:53:27.961308,1,10,100,21756,N/A
9,2026-02-04T19:53:34.401769,1,10,100,21824,N/A
16,2026-02-04T19:53:40.775142,1,10,100,21673,N/A
3,2026-02-04T19:53:47.062711,1,10,100,21738,N/A
1,2026-02-04T19:53:53.269202,1,10,100,21759,N/A
4,2026-02-04T19:53:59.681860,1,10,100,21737,N/A
17,2026-02-04T19:54:06.165450,1,10,100,21729,N/A
12,2026-02-04T19:54:12.554196,1,10,100,21818,N/A
14,2026-02-04T19:54:18.902082,1,10,100,21737,N/A
7,2026-02-04T19:54:25.213399,1,10,100,21729,N/A
15,2026-02-04T19:54:31.555851,1,10,100,21759,N/A
11,2026-02-04T19:54:37.992265,1,10,100,21692,N/A
18,2026-02-04T19:54:44.292600,1,10,100,21713,N/A
20,2026-02-04T19:54:50.619344,1,10,100,21714,N/A
5,2026-02-04T19:54:56.953761,1,10,100,21763,N/A
6,2026-02-04T19:55:03.218328,1,10,100,21768,N/A
13,2026-02-04T19:55:09.557410,1,10,100,21740,N/A
10,2026-02-04T19:55:15.817866,1,10,100,21738,N/A
22,2026-02-04T19:55:22.240697,1,10,100,21733,N/A
21,2026-02-04T19:55:28.493642,1,10,100,21749,N/A
28,2026-02-04T19:55:34.902966,1,10,100,21782,N/A
29,2026-02-04T19:55:41.090701,1,10,100,21751,N/A
27,2026-02-04T19:55:47.413948,1,10,100,21789,N/A
25,2026-02-04T19:55:53.786873,1,10,100,21755,N/A
32,2026-02-04T19:56:00.219285,1,10,100,21788,N/A
23,2026-02-04T19:56:06.569562,1,10,100,21742,N/A
26,2026-02-04T19:56:12.965158,1,10,100,21723,N/A
36,2026-02-04T19:56:19.286960,1,10,100,21738,N/A
33,2026-02-04T19:56:25.721198,1,10,100,21750,N/A
30,2026-02-04T19:56:32.041665,1,10,100,21741,N/A
31,2026-02-04T19:56:38.319811,1,10,100,21771,N/A
37,2026-02-04T19:56:44.811179,1,10,100,21760,N/A
34,2026-02-04T19:56:51.243734,1,10,100,21755,N/A
39,2026-02-04T19:56:57.557857,1,10,100,21789,N/A
24,2026-02-04T19:57:03.901154,1,10,100,21743,N/A
35,2026-02-04T19:57:10.245909,1,10,100,21733,N/A
38,2026-02-04T19:57:16.663088,1,10,100,21711,N/A
40,2026-02-04T19:57:22.920779,1,10,100,21740,N/A
44,2026-02-04T19:57:29.252856,1,10,100,21753,N/A
41,2026-02-04T19:57:35.500915,1,10,100,21781,N/A
