Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
8,2026-02-04T19:53:15.312832,1,10,100,28444,N/A
2,2026-02-04T19:53:21.952052,1,10,100,28433,N/A
19,2026-02-04T19:53:28.789524,1,10,100,28447,N/A
9,2026-02-04T19:53:35.256600,1,10,100,28405,N/A
16,2026-02-04T19:53:41.601459,1,10,100,28437,N/A
3,2026-02-04T19:53:47.924167,1,10,100,28456,N/A
1,2026-02-04T19:53:54.119879,1,10,100,28420,N/A
4,2026-02-04T19:54:00.528567,1,10,100,28411,N/A
17,2026-02-04T19:54:07.010787,1,10,100,28420,N/A
12,2026-02-04T19:54:13.371165,1,10,100,28387,N/A
14,2026-02-04T19:54:19.735457,1,10,100,28388,N/A
7,2026-02-04T19:54:26.068649,1,10,100,28420,N/A
15,2026-02-04T19:54:32.382849,1,10,100,28407,N/A
11,2026-02-04T19:54:38.813682,1,10,100,28420,N/A
18,2026-02-04T19:54:45.127026,1,10,100,28439,N/A
20,2026-02-04T19:54:51.491335,1,10,100,28406,N/A
5,2026-02-04T19:54:57.762292,1,10,100,28438,N/A
6,2026-02-04T19:55:04.039104,1,10,100,28387,N/A
13,2026-02-04T19:55:10.382636,1,10,100,28441,N/A
10,2026-02-04T19:55:16.641753,1,10,100,28403,N/A
22,2026-02-04T19:55:23.075348,1,10,100,28426,N/A
21,2026-02-04T19:55:29.392646,1,10,100,28356,N/A
28,2026-02-04T19:55:35.732072,1,10,100,28397,N/A
29,2026-02-04T19:55:41.908630,1,10,100,28414,N/A
27,2026-02-04T19:55:48.271606,1,10,100,28446,N/A
25,2026-02-04T19:55:54.683797,1,10,100,28429,N/A
32,2026-02-04T19:56:01.049188,1,10,100,28419,N/A
23,2026-02-04T19:56:07.407574,1,10,100,28416,N/A
26,2026-02-04T19:56:13.797741,1,10,100,28396,N/A
36,2026-02-04T19:56:20.173462,1,10,100,28435,N/A
33,2026-02-04T19:56:26.543373,1,10,100,28432,N/A
30,2026-02-04T19:56:32.828917,1,10,100,28423,N/A
31,2026-02-04T19:56:39.158555,1,10,100,28435,N/A
37,2026-02-04T19:56:45.643874,1,10,100,28403,N/A
34,2026-02-04T19:56:52.089213,1,10,100,28459,N/A
39,2026-02-04T19:56:58.396749,1,10,100,28441,N/A
24,2026-02-04T19:57:04.730112,1,10,100,28424,N/A
35,2026-02-04T19:57:11.074320,1,10,100,28414,N/A
38,2026-02-04T19:57:17.491833,1,10,100,28414,N/A
40,2026-02-04T19:57:23.747501,1,10,100,28419,N/A
44,2026-02-04T19:57:30.058892,1,10,100,28413,N/A
41,2026-02-04T19:57:36.375676,1,10,100,28420,N/A
45,2026-02-04T19:57:42.710532,1,10,100,28439,N/A
42,2026-02-04T19:57:49.091034,1,10,100,28379,N/A
48,2026-02-04T19:57:55.414865,1,10,100,28403,N/A
43,2026-02-04T19:58:01.718269,1,10,100,28388,N/A
50,2026-02-04T19:58:08.101797,1,10,100,28441,N/A
55,2026-02-04T19:58:14.688377,1,10,100,28418,N/A
47,2026-02-04T19:58:21.087552,1,10,100,28402,N/A
52,2026-02-04T19:58:27.353864,1,10,100,28416,N/A
49,2026-02-04T19:58:33.597280,1,10,100,28404,N/A
51,2026-02-04T19:58:39.899153,1,10,100,28413,N/A
54,2026-02-04T19:58:46.293204,1,10,100,28404,N/A
53,2026-02-04T19:58:52.559026,1,10,100,28425,N/A
46,2026-02-04T19:58:58.869816,1,10,100,28439,N/A
58,2026-02-04T19:59:05.245342,1,10,100,28425,N/A
59,2026-02-04T19:59:11.535554,1,10,100,28407,N/A
56,2026-02-04T19:59:17.949563,1,10,100,28433,N/A
57,2026-02-04T19:59:24.249241,1,10,100,28401,N/A
60,2026-02-04T19:59:30.493263,1,10,100,28423,N/A
61,2026-02-04T19:59:36.805384,1,10,100,28429,N/A
63,2026-02-04T19:59:43.174873,1,10,100,28412,N/A
62,2026-02-04T19:59:49.533764,1,10,100,28410,N/A
64,2026-02-04T19:59:55.764935,1,10,100,28420,N/A
65,2026-02-04T20:00:02.115779,1,10,100,28396,N/A
66,2026-02-04T20:00:08.480804,1,10,100,28393,N/A
67,2026-02-04T20:00:14.798080,1,10,100,28417,N/A
68,2026-02-04T20:00:21.105948,1,10,100,28422,N/A
69,2026-02-04T20:00:27.489252,1,10,100,28403,N/A
70,2026-02-04T20:00:33.751566,1,10,100,28430,N/A
71,2026-02-04T20:00:40.028197,1,10,100,28415,N/A
72,2026-02-04T20:00:46.300814,1,10,100,28417,N/A
73,2026-02-04T20:00:52.624979,1,10,100,28417,N/A
74,2026-02-04T20:00:59.029724,1,10,100,28397,N/A
75,2026-02-04T20:01:05.476935,1,10,100,28418,N/A
76,2026-02-04T20:01:11.834995,1,10,100,28401,N/A
77,2026-02-04T20:01:18.150896,1,10,100,28460,N/A
78,2026-02-04T20:01:24.464776,1,10,100,28450,N/A
79,2026-02-04T20:01:30.715308,1,10,100,28398,N/A
80,2026-02-04T20:01:37.037273,1,10,100,28402,N/A
81,2026-02-04T20:01:43.421480,1,10,100,28384,N/A
82,2026-02-04T20:01:49.830437,1,10,100,28421,N/A
83,2026-02-04T20:01:56.114920,1,10,100,28401,N/A
84,2026-02-04T20:02:02.390009,1,10,100,28417,N/A
85,2026-02-04T20:02:08.593874,1,10,100,28429,N/A
86,2026-02-04T20:02:14.877008,1,10,100,28422,N/A
87,2026-02-04T20:02:21.233641,1,10,100,28422,N/A
88,2026-02-04T20:02:27.597161,1,10,100,28422,N/A
89,2026-02-04T20:02:33.884290,1,10,100,28404,N/A
90,2026-02-04T20:02:40.311109,1,10,100,28440,N/A
91,2026-02-04T20:02:46.571984,1,10,100,28414,N/A
92,2026-02-04T20:02:52.945434,1,10,100,28407,N/A
93,2026-02-04T20:02:59.235767,1,10,100,28475,N/A
94,2026-02-04T20:03:05.519650,1,10,100,28413,N/A
95,2026-02-04T20:03:11.917070,1,10,100,28411,N/A
96,2026-02-04T20:03:18.317619,1,10,100,28460,N/A
97,2026-02-04T20:03:24.662702,1,10,100,28387,N/A
98,2026-02-04T20:03:30.961350,1,10,100,28444,N/A
99,2026-02-04T20:03:37.376020,1,10,100,28454,N/A
