Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
12,2026-02-04T17:48:16.914665,68,1,100,40718,N/A
15,2026-02-04T17:48:23.472674,77,1,100,40742,N/A
11,2026-02-04T17:48:30.156600,6,7,100,40830,N/A
4,2026-02-04T17:48:37.344814,69,9,100,40864,N/A
6,2026-02-04T17:48:44.663582,15,16,100,41017,N/A
19,2026-02-04T17:48:51.776086,71,14,100,40987,N/A
3,2026-02-04T17:48:59.018207,1,19,100,40903,N/A
13,2026-02-04T17:49:05.317719,19,32,100,41314,N/A
10,2026-02-04T17:49:12.285233,63,38,100,41435,N/A
20,2026-02-04T17:49:19.250747,30,50,100,41760,N/A
16,2026-02-04T17:49:26.627694,63,59,100,41908,N/A
7,2026-02-04T17:49:33.905612,55,56,100,41918,N/A
1,2026-02-04T17:49:41.196903,94,66,100,42020,N/A
5,2026-02-04T17:49:48.584457,44,60,100,41936,N/A
17,2026-02-04T17:49:55.911127,16,71,100,41947,N/A
23,2026-02-04T17:50:03.443557,26,15,100,40936,N/A
8,2026-02-04T17:50:10.231912,93,75,100,42067,N/A
18,2026-02-04T17:50:17.694555,6,88,100,41917,N/A
21,2026-02-04T17:50:25.058238,76,32,100,41346,N/A
2,2026-02-04T17:50:32.070982,66,72,100,42042,N/A
24,2026-02-04T17:50:39.698092,67,22,100,41122,N/A
14,2026-02-04T17:50:46.413200,44,97,100,42090,N/A
9,2026-02-04T17:50:54.307880,31,99,100,42093,N/A
28,2026-02-04T17:51:02.181642,53,31,100,41357,N/A
26,2026-02-04T17:51:09.095649,57,58,100,41943,N/A
27,2026-02-04T17:51:16.341728,6,63,100,41809,N/A
38,2026-02-04T17:51:23.688775,26,4,100,40752,N/A
29,2026-02-04T17:51:30.066512,18,48,100,41395,N/A
37,2026-02-04T17:51:37.305971,7,2,100,40753,N/A
32,2026-02-04T17:51:43.468519,8,26,100,41135,N/A
25,2026-02-04T17:51:50.155252,61,82,100,42146,N/A
30,2026-02-04T17:51:57.750237,40,44,100,41438,N/A
43,2026-02-04T17:52:04.837570,64,2,100,40755,N/A
42,2026-02-04T17:52:11.179349,26,3,100,40739,N/A
22,2026-02-04T17:52:17.329531,42,95,100,42147,N/A
41,2026-02-04T17:52:25.019504,91,28,100,41277,N/A
33,2026-02-04T17:52:31.846069,71,48,100,41529,N/A
31,2026-02-04T17:52:38.943212,52,64,100,42019,N/A
35,2026-02-04T17:52:46.182578,59,47,100,41500,N/A
36,2026-02-04T17:52:53.209509,25,61,100,41935,N/A
44,2026-02-04T17:53:00.638838,76,20,100,41082,N/A
34,2026-02-04T17:53:07.370539,99,73,100,42071,N/A
39,2026-02-04T17:53:14.914572,34,73,100,42069,N/A
54,2026-02-04T17:53:22.512181,39,7,100,40824,N/A
47,2026-02-04T17:53:29.150518,3,36,100,41247,N/A
40,2026-02-04T17:53:35.711557,26,96,100,42065,N/A
49,2026-02-04T17:53:43.348500,42,49,100,41645,N/A
