Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
12,2026-02-04T17:48:18.608781,68,1,100,27296,N/A
15,2026-02-04T17:48:25.201500,77,1,100,27152,N/A
11,2026-02-04T17:48:31.978643,6,7,100,27042,N/A
4,2026-02-04T17:48:39.152043,69,9,100,27214,N/A
6,2026-02-04T17:48:46.482268,15,16,100,27055,N/A
19,2026-02-04T17:48:53.741314,71,14,100,27006,N/A
3,2026-02-04T17:49:00.649376,1,19,100,27018,N/A
13,2026-02-04T17:49:07.011928,19,32,100,27070,N/A
10,2026-02-04T17:49:14.098810,63,38,100,27005,N/A
20,2026-02-04T17:49:21.119561,30,50,100,27093,N/A
16,2026-02-04T17:49:28.651780,63,59,100,27026,N/A
7,2026-02-04T17:49:35.925890,55,56,100,27083,N/A
1,2026-02-04T17:49:43.297342,94,66,100,27040,N/A
5,2026-02-04T17:49:50.566379,44,60,100,27035,N/A
17,2026-02-04T17:49:57.752225,16,71,100,26991,N/A
23,2026-02-04T17:50:05.072619,26,15,100,27089,N/A
8,2026-02-04T17:50:12.445356,93,75,100,27064,N/A
18,2026-02-04T17:50:19.532030,6,88,100,27191,N/A
21,2026-02-04T17:50:26.830283,76,32,100,27030,N/A
2,2026-02-04T17:50:34.187933,66,72,100,27035,N/A
24,2026-02-04T17:50:41.390678,67,22,100,27101,N/A
14,2026-02-04T17:50:48.540495,44,97,100,26999,N/A
9,2026-02-04T17:50:56.399794,31,99,100,27015,N/A
28,2026-02-04T17:51:03.942907,53,31,100,27156,N/A
26,2026-02-04T17:51:11.121392,57,58,100,27062,N/A
27,2026-02-04T17:51:18.110200,6,63,100,26952,N/A
38,2026-02-04T17:51:25.278845,26,4,100,27105,N/A
29,2026-02-04T17:51:31.817852,18,48,100,27139,N/A
37,2026-02-04T17:51:38.856121,7,2,100,27098,N/A
32,2026-02-04T17:51:45.120937,8,26,100,27012,N/A
25,2026-02-04T17:51:52.306119,61,82,100,27002,N/A
30,2026-02-04T17:51:59.604863,40,44,100,27147,N/A
43,2026-02-04T17:52:06.441035,64,2,100,27048,N/A
42,2026-02-04T17:52:12.739869,26,3,100,27077,N/A
22,2026-02-04T17:52:19.477779,42,95,100,27279,N/A
41,2026-02-04T17:52:26.737877,91,28,100,27126,N/A
33,2026-02-04T17:52:33.761001,71,48,100,27094,N/A
31,2026-02-04T17:52:40.982545,52,64,100,27099,N/A
35,2026-02-04T17:52:48.102595,59,47,100,26945,N/A
36,2026-02-04T17:52:55.075754,25,61,100,27155,N/A
44,2026-02-04T17:53:02.294792,76,20,100,27154,N/A
34,2026-02-04T17:53:09.613312,99,73,100,26950,N/A
39,2026-02-04T17:53:16.838015,34,73,100,27019,N/A
54,2026-02-04T17:53:24.116655,39,7,100,27024,N/A
47,2026-02-04T17:53:30.808496,3,36,100,26975,N/A
40,2026-02-04T17:53:37.685131,26,96,100,27095,N/A
49,2026-02-04T17:53:45.227034,42,49,100,26973,N/A
53,2026-02-04T17:53:52.558214,52,65,100,26905,N/A
48,2026-02-04T17:54:00.463315,83,81,100,27127,N/A
45,2026-02-04T17:54:08.168973,74,95,100,27056,N/A
46,2026-02-04T17:54:15.794430,46,97,100,27076,N/A
50,2026-02-04T17:54:23.643955,85,93,100,27144,N/A
63,2026-02-04T17:54:30.955136,57,32,100,27130,N/A
51,2026-02-04T17:54:38.212377,55,98,100,27098,N/A
55,2026-02-04T17:54:45.721278,33,83,100,27194,N/A
57,2026-02-04T17:54:53.464057,72,71,100,27053,N/A
61,2026-02-04T17:55:00.696013,39,61,100,26970,N/A
52,2026-02-04T17:55:08.506127,98,95,100,27053,N/A
64,2026-02-04T17:55:15.643746,88,37,100,27153,N/A
62,2026-02-04T17:55:22.829511,88,64,100,27038,N/A
56,2026-02-04T17:55:30.134750,38,82,100,27318,N/A
59,2026-02-04T17:55:37.994312,97,76,100,26976,N/A
58,2026-02-04T17:55:45.697948,55,92,100,27118,N/A
60,2026-02-04T17:55:53.102735,26,95,100,27101,N/A
65,2026-02-04T17:56:00.673979,48,51,100,27107,N/A
66,2026-02-04T17:56:07.493684,6,42,100,27067,N/A
67,2026-02-04T17:56:14.389830,4,80,100,27092,N/A
68,2026-02-04T17:56:21.819398,28,87,100,27299,N/A
69,2026-02-04T17:56:29.415749,79,48,100,27112,N/A
70,2026-02-04T17:56:36.470385,99,23,100,27040,N/A
71,2026-02-04T17:56:43.458790,96,46,100,26924,N/A
72,2026-02-04T17:56:50.545020,12,36,100,27075,N/A
