Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
12,2026-02-04T17:48:20.903195,68,1,100,21670,N/A
15,2026-02-04T17:48:27.528454,77,1,100,21657,N/A
11,2026-02-04T17:48:34.357717,6,7,100,21807,N/A
4,2026-02-04T17:48:41.573784,69,9,100,21726,N/A
6,2026-02-04T17:48:48.798555,15,16,100,21876,N/A
19,2026-02-04T17:48:56.082388,71,14,100,21861,N/A
3,2026-02-04T17:49:02.792705,1,19,100,21868,N/A
13,2026-02-04T17:49:09.386483,19,32,100,22453,N/A
10,2026-02-04T17:49:16.506851,63,38,100,22431,N/A
20,2026-02-04T17:49:23.619326,30,50,100,23133,N/A
16,2026-02-04T17:49:31.210013,63,59,100,22235,N/A
7,2026-02-04T17:49:38.505928,55,56,100,22292,N/A
1,2026-02-04T17:49:45.926152,94,66,100,22255,N/A
5,2026-02-04T17:49:53.107299,44,60,100,22514,N/A
17,2026-02-04T17:50:00.186467,16,71,100,23388,N/A
23,2026-02-04T17:50:07.323020,26,15,100,21872,N/A
8,2026-02-04T17:50:14.960757,93,75,100,21765,N/A
18,2026-02-04T17:50:22.080285,6,88,100,23543,N/A
21,2026-02-04T17:50:29.230157,76,32,100,22418,N/A
2,2026-02-04T17:50:36.893667,66,72,100,21737,N/A
24,2026-02-04T17:50:43.555076,67,22,100,22093,N/A
14,2026-02-04T17:50:51.250977,44,97,100,23499,N/A
9,2026-02-04T17:50:58.948203,31,99,100,23748,N/A
28,2026-02-04T17:51:06.279513,53,31,100,22406,N/A
26,2026-02-04T17:51:13.624879,57,58,100,22250,N/A
27,2026-02-04T17:51:20.684621,6,63,100,23441,N/A
38,2026-02-04T17:51:27.423791,26,4,100,21679,N/A
29,2026-02-04T17:51:34.184904,18,48,100,22518,N/A
37,2026-02-04T17:51:41.023439,7,2,100,21765,N/A
32,2026-02-04T17:51:47.293587,8,26,100,22287,N/A
25,2026-02-04T17:51:54.856778,61,82,100,22372,N/A
30,2026-02-04T17:52:02.011012,40,44,100,22467,N/A
43,2026-02-04T17:52:08.640817,64,2,100,21844,N/A
42,2026-02-04T17:52:14.856922,26,3,100,21727,N/A
22,2026-02-04T17:52:22.036998,42,95,100,23500,N/A
41,2026-02-04T17:52:29.012376,91,28,100,22385,N/A
33,2026-02-04T17:52:36.193024,71,48,100,22313,N/A
31,2026-02-04T17:52:43.418874,52,64,100,22418,N/A
35,2026-02-04T17:52:50.577370,59,47,100,22293,N/A
36,2026-02-04T17:52:57.654071,25,61,100,23514,N/A
44,2026-02-04T17:53:04.575081,76,20,100,22004,N/A
34,2026-02-04T17:53:12.194797,99,73,100,21730,N/A
39,2026-02-04T17:53:19.371059,34,73,100,23536,N/A
54,2026-02-04T17:53:26.327749,39,7,100,21789,N/A
47,2026-02-04T17:53:33.094740,3,36,100,22350,N/A
