Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
12,2026-02-04T17:48:21.759121,68,1,100,27987,N/A
15,2026-02-04T17:48:28.393288,77,1,100,27982,N/A
11,2026-02-04T17:48:35.297609,6,7,100,28758,N/A
4,2026-02-04T17:48:42.488076,69,9,100,28868,N/A
6,2026-02-04T17:48:49.645944,15,16,100,28779,N/A
19,2026-02-04T17:48:56.905336,71,14,100,28905,N/A
3,2026-02-04T17:49:03.638755,1,19,100,28775,N/A
13,2026-02-04T17:49:10.248306,19,32,100,28739,N/A
10,2026-02-04T17:49:17.371594,63,38,100,25652,N/A
20,2026-02-04T17:49:24.558305,30,50,100,27537,N/A
16,2026-02-04T17:49:32.072274,63,59,100,25256,N/A
7,2026-02-04T17:49:39.374048,55,56,100,25293,N/A
1,2026-02-04T17:49:46.794177,94,66,100,24954,N/A
5,2026-02-04T17:49:53.986932,44,60,100,25674,N/A
17,2026-02-04T17:50:01.158864,16,71,100,29070,N/A
23,2026-02-04T17:50:08.229804,26,15,100,28876,N/A
8,2026-02-04T17:50:15.832309,93,75,100,24922,N/A
18,2026-02-04T17:50:23.018662,6,88,100,29699,N/A
21,2026-02-04T17:50:30.084986,76,32,100,25734,N/A
2,2026-02-04T17:50:37.794155,66,72,100,25039,N/A
24,2026-02-04T17:50:44.422997,67,22,100,28412,N/A
14,2026-02-04T17:50:52.192924,44,97,100,27277,N/A
9,2026-02-04T17:50:59.945808,31,99,100,28033,N/A
28,2026-02-04T17:51:07.165900,53,31,100,25664,N/A
26,2026-02-04T17:51:14.492155,57,58,100,25342,N/A
27,2026-02-04T17:51:21.607987,6,63,100,29211,N/A
38,2026-02-04T17:51:28.248886,26,4,100,28505,N/A
29,2026-02-04T17:51:35.038599,18,48,100,29094,N/A
37,2026-02-04T17:51:41.846369,7,2,100,28043,N/A
32,2026-02-04T17:51:48.128986,8,26,100,28917,N/A
25,2026-02-04T17:51:55.792452,61,82,100,25290,N/A
30,2026-02-04T17:52:02.879374,40,44,100,25684,N/A
43,2026-02-04T17:52:09.531190,64,2,100,28044,N/A
42,2026-02-04T17:52:15.670835,26,3,100,28108,N/A
22,2026-02-04T17:52:22.966363,42,95,100,25682,N/A
41,2026-02-04T17:52:29.919229,91,28,100,27327,N/A
33,2026-02-04T17:52:37.055261,71,48,100,25238,N/A
31,2026-02-04T17:52:44.283547,52,64,100,25453,N/A
35,2026-02-04T17:52:51.431765,59,47,100,25196,N/A
36,2026-02-04T17:52:58.580913,25,61,100,27640,N/A
44,2026-02-04T17:53:05.417347,76,20,100,28572,N/A
34,2026-02-04T17:53:13.044756,99,73,100,24899,N/A
39,2026-02-04T17:53:20.323042,34,73,100,28085,N/A
54,2026-02-04T17:53:27.181271,39,7,100,28822,N/A
47,2026-02-04T17:53:33.937090,3,36,100,28832,N/A
40,2026-02-04T17:53:41.289079,26,96,100,28035,N/A
49,2026-02-04T17:53:48.593104,42,49,100,25682,N/A
53,2026-02-04T17:53:55.984922,52,65,100,25665,N/A
48,2026-02-04T17:54:04.043286,83,81,100,24363,N/A
45,2026-02-04T17:54:11.718173,74,95,100,25167,N/A
46,2026-02-04T17:54:19.324012,46,97,100,25592,N/A
50,2026-02-04T17:54:27.195378,85,93,100,24975,N/A
63,2026-02-04T17:54:34.126488,57,32,100,25741,N/A
51,2026-02-04T17:54:41.813079,55,98,100,25369,N/A
55,2026-02-04T17:54:49.187610,33,83,100,27864,N/A
57,2026-02-04T17:54:56.816317,72,71,100,24922,N/A
61,2026-02-04T17:55:04.146897,39,61,100,25725,N/A
52,2026-02-04T17:55:12.030907,98,95,100,24443,N/A
64,2026-02-04T17:55:18.799822,88,37,100,25700,N/A
62,2026-02-04T17:55:26.231401,88,64,100,24923,N/A
56,2026-02-04T17:55:33.656166,38,82,100,27637,N/A
59,2026-02-04T17:55:41.605195,97,76,100,25011,N/A
58,2026-02-04T17:55:49.264520,55,92,100,25100,N/A
60,2026-02-04T17:55:56.530755,26,95,100,28275,N/A
65,2026-02-04T17:56:03.937323,48,51,100,25547,N/A
66,2026-02-04T17:56:10.645905,6,42,100,28887,N/A
67,2026-02-04T17:56:17.857040,4,80,100,29245,N/A
68,2026-02-04T17:56:25.328482,28,87,100,27904,N/A
69,2026-02-04T17:56:32.723766,79,48,100,25094,N/A
70,2026-02-04T17:56:39.606102,99,23,100,27581,N/A
71,2026-02-04T17:56:46.841262,96,46,100,25357,N/A
72,2026-02-04T17:56:53.709032,12,36,100,29168,N/A
73,2026-02-04T17:57:00.810028,40,22,100,28416,N/A
74,2026-02-04T17:57:07.705176,9,32,100,29031,N/A
75,2026-02-04T17:57:15.671024,65,94,100,25156,N/A
76,2026-02-04T17:57:22.851707,52,51,100,25222,N/A
77,2026-02-04T17:57:30.090001,80,56,100,25207,N/A
78,2026-02-04T17:57:36.548319,19,6,100,28495,N/A
79,2026-02-04T17:57:43.113330,16,2,100,28081,N/A
80,2026-02-04T17:57:49.994282,29,62,100,27660,N/A
82,2026-02-04T17:57:56.687566,82,5,100,28673,N/A
81,2026-02-04T17:58:04.000380,15,92,100,29857,N/A
83,2026-02-04T17:58:11.113504,64,5,100,28641,N/A
84,2026-02-04T17:58:18.444298,64,76,100,25119,N/A
85,2026-02-04T17:58:25.294594,34,33,100,25685,N/A
86,2026-02-04T17:58:32.940338,76,84,100,24992,N/A
87,2026-02-04T17:58:39.743092,15,30,100,28960,N/A
89,2026-02-04T17:58:46.466959,70,9,100,28867,N/A
88,2026-02-04T17:58:54.340924,69,93,100,25307,N/A
91,2026-02-04T17:59:01.261870,36,37,100,25680,N/A
90,2026-02-04T17:59:09.233774,86,98,100,24915,N/A
92,2026-02-04T17:59:15.893997,3,30,100,28824,N/A
94,2026-02-04T17:59:22.355570,97,7,100,28816,N/A
93,2026-02-04T17:59:29.429309,2,64,100,29265,N/A
95,2026-02-04T17:59:36.269286,7,25,100,28814,N/A
96,2026-02-04T17:59:43.188131,16,23,100,28912,N/A
97,2026-02-04T17:59:50.454927,1,96,100,29731,N/A
98,2026-02-04T17:59:57.990638,75,81,100,24968,N/A
99,2026-02-04T18:00:04.850473,66,35,100,26567,N/A
100,2026-02-04T18:00:12.099167,22,69,100,28913,N/A
101,2026-02-04T18:00:19.136737,51,23,100,28264,N/A
103,2026-02-04T18:00:25.974176,59,27,100,27134,N/A
102,2026-02-04T18:00:33.436222,50,94,100,25864,N/A
104,2026-02-04T18:00:40.416751,3,47,100,29147,N/A
105,2026-02-04T18:00:47.320783,19,25,100,28718,N/A
106,2026-02-04T18:00:54.202614,13,8,100,28821,N/A
107,2026-02-04T18:01:01.608749,28,86,100,28137,N/A
108,2026-02-04T18:01:09.277216,29,95,100,28262,N/A
110,2026-02-04T18:01:16.116925,89,4,100,28476,N/A
109,2026-02-04T18:01:23.788775,93,88,100,24912,N/A
111,2026-02-04T18:01:30.848793,25,54,100,27828,N/A
