Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
8,2026-02-04T19:53:11.928049,1,10,100,27023,N/A
2,2026-02-04T19:53:18.859424,1,10,100,27197,N/A
19,2026-02-04T19:53:25.612435,1,10,100,27037,N/A
9,2026-02-04T19:53:32.135975,1,10,100,27040,N/A
16,2026-02-04T19:53:38.558320,1,10,100,27031,N/A
3,2026-02-04T19:53:44.952510,1,10,100,27091,N/A
1,2026-02-04T19:53:51.125258,1,10,100,26994,N/A
4,2026-02-04T19:53:57.412665,1,10,100,27078,N/A
17,2026-02-04T19:54:03.844310,1,10,100,27112,N/A
12,2026-02-04T19:54:10.330992,1,10,100,26989,N/A
14,2026-02-04T19:54:16.746618,1,10,100,26941,N/A
7,2026-02-04T19:54:22.977729,1,10,100,27028,N/A
15,2026-02-04T19:54:29.332787,1,10,100,27093,N/A
11,2026-02-04T19:54:35.743873,1,10,100,27115,N/A
18,2026-02-04T19:54:42.131349,1,10,100,27169,N/A
20,2026-02-04T19:54:48.412121,1,10,100,27198,N/A
5,2026-02-04T19:54:54.741785,1,10,100,27115,N/A
6,2026-02-04T19:55:00.990463,1,10,100,27211,N/A
13,2026-02-04T19:55:07.355097,1,10,100,27158,N/A
10,2026-02-04T19:55:13.689102,1,10,100,26993,N/A
22,2026-02-04T19:55:19.976567,1,10,100,26967,N/A
21,2026-02-04T19:55:26.318198,1,10,100,27089,N/A
28,2026-02-04T19:55:32.756202,1,10,100,26998,N/A
29,2026-02-04T19:55:38.953705,1,10,100,27186,N/A
27,2026-02-04T19:55:45.238197,1,10,100,27195,N/A
25,2026-02-04T19:55:51.576896,1,10,100,27194,N/A
32,2026-02-04T19:55:58.010754,1,10,100,27049,N/A
23,2026-02-04T19:56:04.379469,1,10,100,27027,N/A
26,2026-02-04T19:56:10.742630,1,10,100,27112,N/A
36,2026-02-04T19:56:17.060043,1,10,100,27129,N/A
33,2026-02-04T19:56:23.565281,1,10,100,26967,N/A
30,2026-02-04T19:56:29.809297,1,10,100,27002,N/A
31,2026-02-04T19:56:36.116005,1,10,100,27023,N/A
37,2026-02-04T19:56:42.493954,1,10,100,27027,N/A
34,2026-02-04T19:56:49.017157,1,10,100,27065,N/A
39,2026-02-04T19:56:55.345084,1,10,100,26945,N/A
24,2026-02-04T19:57:01.741858,1,10,100,27017,N/A
35,2026-02-04T19:57:07.998206,1,10,100,27048,N/A
38,2026-02-04T19:57:14.344507,1,10,100,27097,N/A
40,2026-02-04T19:57:20.776372,1,10,100,27051,N/A
44,2026-02-04T19:57:27.063830,1,10,100,27246,N/A
