Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
1,2026-02-04T14:36:13.315875,16,2,100,40769,N/A
11,2026-02-04T14:36:20.011693,3,11,100,40825,N/A
13,2026-02-04T14:36:26.853207,21,27,100,41223,N/A
14,2026-02-04T14:36:34.356657,21,28,100,41287,N/A
2,2026-02-04T14:36:41.381801,81,39,100,41392,N/A
12,2026-02-04T14:36:48.382446,69,40,100,41408,N/A
10,2026-02-04T14:36:55.428383,5,40,100,41225,N/A
7,2026-02-04T14:37:02.279067,27,50,100,41733,N/A
16,2026-02-04T14:37:09.575247,31,60,100,41948,N/A
19,2026-02-04T14:37:16.958699,87,63,100,42023,N/A
8,2026-02-04T14:37:24.351157,28,68,100,42005,N/A
5,2026-02-04T14:37:31.968268,31,66,100,42019,N/A
4,2026-02-04T14:37:39.516532,31,74,100,42043,N/A
3,2026-02-04T14:37:47.129600,95,68,100,42038,N/A
18,2026-02-04T14:37:54.585544,17,66,100,41857,N/A
6,2026-02-04T14:38:02.259001,69,73,100,42086,N/A
23,2026-02-04T14:38:09.744561,89,36,100,41423,N/A
15,2026-02-04T14:38:16.699359,92,75,100,42076,N/A
27,2026-02-04T14:38:24.234075,55,27,100,41269,N/A
9,2026-02-04T14:38:31.065520,62,74,100,42097,N/A
24,2026-02-04T14:38:38.501379,97,45,100,41453,N/A
28,2026-02-04T14:38:45.619166,68,28,100,41243,N/A
20,2026-02-04T14:38:52.568112,48,84,100,42128,N/A
17,2026-02-04T14:39:00.200967,86,92,100,42168,N/A
31,2026-02-04T14:39:07.965147,32,30,100,41340,N/A
42,2026-02-04T14:39:14.965223,2,16,100,40952,N/A
21,2026-02-04T14:39:21.375510,14,93,100,41978,N/A
22,2026-02-04T14:39:29.179534,39,100,100,42111,N/A
33,2026-02-04T14:39:36.845995,80,40,100,41442,N/A
39,2026-02-04T14:39:43.990452,21,35,100,41332,N/A
32,2026-02-04T14:39:50.992463,11,45,100,41254,N/A
26,2026-02-04T14:39:58.293621,45,74,100,42107,N/A
25,2026-02-04T14:40:05.785823,12,75,100,41925,N/A
43,2026-02-04T14:40:13.501670,54,32,100,41365,N/A
36,2026-02-04T14:40:20.645039,98,53,100,41854,N/A
