Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
1,2026-02-04T14:36:15.010721,16,2,100,27044,N/A
11,2026-02-04T14:36:21.737222,3,11,100,27049,N/A
13,2026-02-04T14:36:28.761049,21,27,100,27081,N/A
14,2026-02-04T14:36:36.110801,21,28,100,27017,N/A
2,2026-02-04T14:36:43.184296,81,39,100,26996,N/A
12,2026-02-04T14:36:50.230726,69,40,100,27195,N/A
10,2026-02-04T14:36:57.123783,5,40,100,27016,N/A
7,2026-02-04T14:37:04.144362,27,50,100,27134,N/A
16,2026-02-04T14:37:11.453996,31,60,100,27203,N/A
19,2026-02-04T14:37:19.013050,87,63,100,27052,N/A
8,2026-02-04T14:37:26.248822,28,68,100,26995,N/A
5,2026-02-04T14:37:33.928075,31,66,100,27062,N/A
4,2026-02-04T14:37:41.490441,31,74,100,27004,N/A
3,2026-02-04T14:37:49.274787,95,68,100,27124,N/A
18,2026-02-04T14:37:56.370969,17,66,100,26996,N/A
6,2026-02-04T14:38:04.384686,69,73,100,26969,N/A
23,2026-02-04T14:38:11.537314,89,36,100,27061,N/A
15,2026-02-04T14:38:18.957891,92,75,100,27003,N/A
27,2026-02-04T14:38:25.979582,55,27,100,27211,N/A
9,2026-02-04T14:38:33.222152,62,74,100,27080,N/A
24,2026-02-04T14:38:40.379776,97,45,100,27080,N/A
28,2026-02-04T14:38:47.414690,68,28,100,26996,N/A
20,2026-02-04T14:38:54.642447,48,84,100,27088,N/A
17,2026-02-04T14:39:02.601490,86,92,100,27000,N/A
31,2026-02-04T14:39:09.714498,32,30,100,27279,N/A
42,2026-02-04T14:39:16.572781,2,16,100,27072,N/A
21,2026-02-04T14:39:23.292393,14,93,100,27158,N/A
22,2026-02-04T14:39:31.245652,39,100,100,27040,N/A
33,2026-02-04T14:39:38.691316,80,40,100,27098,N/A
39,2026-02-04T14:39:45.745443,21,35,100,27179,N/A
32,2026-02-04T14:39:52.731649,11,45,100,27011,N/A
26,2026-02-04T14:40:00.303310,45,74,100,27082,N/A
25,2026-02-04T14:40:07.667808,12,75,100,27132,N/A
43,2026-02-04T14:40:15.261831,54,32,100,27065,N/A
36,2026-02-04T14:40:22.590611,98,53,100,27206,N/A
30,2026-02-04T14:40:29.778297,95,63,100,27148,N/A
38,2026-02-04T14:40:36.860379,68,43,100,27051,N/A
53,2026-02-04T14:40:43.649318,42,6,100,27153,N/A
45,2026-02-04T14:40:50.182795,2,25,100,27087,N/A
40,2026-02-04T14:40:57.175022,84,60,100,27057,N/A
51,2026-02-04T14:41:04.243507,96,20,100,27019,N/A
29,2026-02-04T14:41:11.335947,43,86,100,27005,N/A
41,2026-02-04T14:41:18.707488,27,68,100,27063,N/A
37,2026-02-04T14:41:26.154243,39,79,100,27075,N/A
34,2026-02-04T14:41:33.337285,14,83,100,27222,N/A
58,2026-02-04T14:41:40.981498,77,21,100,27025,N/A
46,2026-02-04T14:41:48.070556,99,48,100,27057,N/A
50,2026-02-04T14:41:55.242377,100,44,100,27103,N/A
47,2026-02-04T14:42:02.416148,58,53,100,27306,N/A
48,2026-02-04T14:42:09.678600,51,51,100,27041,N/A
35,2026-02-04T14:42:17.238951,96,91,100,27023,N/A
61,2026-02-04T14:42:24.254204,41,15,100,27130,N/A
63,2026-02-04T14:42:30.881906,46,14,100,27188,N/A
44,2026-02-04T14:42:37.977110,23,75,100,26977,N/A
49,2026-02-04T14:42:45.674486,95,56,100,27113,N/A
54,2026-02-04T14:42:52.856090,95,54,100,27260,N/A
52,2026-02-04T14:43:00.362015,60,66,100,27163,N/A
57,2026-02-04T14:43:07.672481,46,53,100,27095,N/A
56,2026-02-04T14:43:14.731316,33,63,100,27050,N/A
59,2026-02-04T14:43:22.074819,9,55,100,27045,N/A
62,2026-02-04T14:43:29.595241,13,51,100,27090,N/A
60,2026-02-04T14:43:37.092375,5,62,100,27087,N/A
55,2026-02-04T14:43:44.438799,5,79,100,27000,N/A
64,2026-02-04T14:43:52.016983,73,55,100,27068,N/A
65,2026-02-04T14:43:59.031679,31,54,100,26899,N/A
66,2026-02-04T14:44:06.395798,57,54,100,27009,N/A
67,2026-02-04T14:44:13.728078,49,91,100,27116,N/A
68,2026-02-04T14:44:21.389665,24,84,100,27232,N/A
69,2026-02-04T14:44:29.067557,89,51,100,27051,N/A
70,2026-02-04T14:44:35.927720,65,8,100,27156,N/A
71,2026-02-04T14:44:42.470182,46,5,100,27081,N/A
72,2026-02-04T14:44:49.114078,65,38,100,27090,N/A
73,2026-02-04T14:44:56.388708,92,81,100,26961,N/A
74,2026-02-04T14:45:03.689684,52,71,100,27055,N/A
75,2026-02-04T14:45:11.014692,35,65,100,27123,N/A
76,2026-02-04T14:45:18.244981,50,58,100,27031,N/A
77,2026-02-04T14:45:25.232501,34,21,100,27051,N/A
78,2026-02-04T14:45:32.461212,53,84,100,27091,N/A
79,2026-02-04T14:45:39.941855,69,49,100,27212,N/A
80,2026-02-04T14:45:47.298646,57,85,100,26926,N/A
81,2026-02-04T14:45:55.089298,79,88,100,27275,N/A
82,2026-02-04T14:46:03.013700,71,94,100,27260,N/A
83,2026-02-04T14:46:10.202865,69,41,100,27142,N/A
84,2026-02-04T14:46:17.324947,27,70,100,27188,N/A
85,2026-02-04T14:46:24.961587,92,65,100,27033,N/A
86,2026-02-04T14:46:32.115287,69,46,100,27066,N/A
87,2026-02-04T14:46:39.075336,84,40,100,27034,N/A
88,2026-02-04T14:46:45.839105,16,38,100,27108,N/A
89,2026-02-04T14:46:53.160220,5,93,100,27132,N/A
90,2026-02-04T14:47:00.560822,53,52,100,26928,N/A
91,2026-02-04T14:47:07.193783,94,5,100,27315,N/A
92,2026-02-04T14:47:13.788877,46,62,100,27136,N/A
93,2026-02-04T14:47:21.333387,67,88,100,26947,N/A
94,2026-02-04T14:47:28.654062,24,74,100,27117,N/A
95,2026-02-04T14:47:36.243439,26,75,100,27008,N/A
96,2026-02-04T14:47:44.277347,79,64,100,27006,N/A
97,2026-02-04T14:47:51.155674,16,2,100,27065,N/A
98,2026-02-04T14:47:57.619610,11,81,100,27044,N/A
99,2026-02-04T14:48:05.316521,4,76,100,27182,N/A
101,2026-02-04T14:48:12.721503,83,9,100,27092,N/A
100,2026-02-04T14:48:20.132121,93,84,100,27103,N/A
102,2026-02-04T14:48:27.397957,72,25,100,26949,N/A
103,2026-02-04T14:48:34.530961,48,54,100,27095,N/A
105,2026-02-04T14:48:41.365583,10,18,100,27043,N/A
104,2026-02-04T14:48:48.996403,97,89,100,26957,N/A
106,2026-02-04T14:48:56.241247,53,46,100,27083,N/A
108,2026-02-04T14:49:02.961612,91,1,100,27100,N/A
107,2026-02-04T14:49:09.976241,57,98,100,27181,N/A
109,2026-02-04T14:49:17.492949,69,26,100,26967,N/A
110,2026-02-04T14:49:24.347139,57,37,100,27034,N/A
111,2026-02-04T14:49:31.536111,37,92,100,27151,N/A
112,2026-02-04T14:49:39.511140,87,69,100,27007,N/A
113,2026-02-04T14:49:46.995093,64,97,100,27086,N/A
114,2026-02-04T14:49:54.707851,76,71,100,27074,N/A
115,2026-02-04T14:50:01.789655,63,35,100,27026,N/A
116,2026-02-04T14:50:08.371903,9,10,100,26980,N/A
117,2026-02-04T14:50:15.268063,12,76,100,27119,N/A
118,2026-02-04T14:50:22.859895,41,20,100,27056,N/A
119,2026-02-04T14:50:30.194580,33,70,100,27175,N/A
120,2026-02-04T14:50:37.629787,30,68,100,27025,N/A
122,2026-02-04T14:50:44.736060,98,9,100,27056,N/A
121,2026-02-04T14:50:52.224895,94,96,100,27153,N/A
123,2026-02-04T14:50:59.379886,13,48,100,27078,N/A
124,2026-02-04T14:51:06.617046,49,15,100,27140,N/A
125,2026-02-04T14:51:13.720917,96,55,100,27132,N/A
126,2026-02-04T14:51:20.941854,90,41,100,27085,N/A
127,2026-02-04T14:51:27.966195,14,80,100,27122,N/A
128,2026-02-04T14:51:35.763180,4,76,100,27050,N/A
129,2026-02-04T14:51:42.825919,10,19,100,27115,N/A
130,2026-02-04T14:51:50.120936,68,82,100,27144,N/A
132,2026-02-04T14:51:57.006116,38,4,100,27079,N/A
131,2026-02-04T14:52:03.719556,19,99,100,27107,N/A
133,2026-02-04T14:52:11.610128,41,64,100,27300,N/A
134,2026-02-04T14:52:19.085906,55,96,100,27241,N/A
