Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
1,2026-02-04T14:36:18.295021,16,2,100,28070,N/A
11,2026-02-04T14:36:24.983097,3,11,100,28556,N/A
13,2026-02-04T14:36:32.077965,21,27,100,28765,N/A
14,2026-02-04T14:36:39.342195,21,28,100,28856,N/A
2,2026-02-04T14:36:46.487245,81,39,100,25671,N/A
12,2026-02-04T14:36:53.489448,69,40,100,27146,N/A
10,2026-02-04T14:37:00.392608,5,40,100,28874,N/A
7,2026-02-04T14:37:07.549100,27,50,100,27810,N/A
16,2026-02-04T14:37:14.864299,31,60,100,27779,N/A
19,2026-02-04T14:37:22.533742,87,63,100,25210,N/A
8,2026-02-04T14:37:29.747880,28,68,100,28179,N/A
5,2026-02-04T14:37:37.420078,31,66,100,27783,N/A
4,2026-02-04T14:37:44.970393,31,74,100,27923,N/A
3,2026-02-04T14:37:52.652299,95,68,100,25056,N/A
18,2026-02-04T14:37:59.923095,17,66,100,29248,N/A
6,2026-02-04T14:38:07.894827,69,73,100,24906,N/A
23,2026-02-04T14:38:14.755004,89,36,100,25701,N/A
15,2026-02-04T14:38:22.401647,92,75,100,24877,N/A
27,2026-02-04T14:38:29.149810,55,27,100,25950,N/A
9,2026-02-04T14:38:36.619214,62,74,100,25245,N/A
24,2026-02-04T14:38:43.781726,97,45,100,25353,N/A
28,2026-02-04T14:38:50.679212,68,28,100,25726,N/A
20,2026-02-04T14:38:58.121737,48,84,100,25528,N/A
17,2026-02-04T14:39:06.169766,86,92,100,24999,N/A
31,2026-02-04T14:39:12.992377,32,30,100,27400,N/A
42,2026-02-04T14:39:19.628844,2,16,100,28556,N/A
21,2026-02-04T14:39:26.847084,14,93,100,29760,N/A
22,2026-02-04T14:39:34.823213,39,100,100,27903,N/A
33,2026-02-04T14:39:42.094805,80,40,100,25268,N/A
39,2026-02-04T14:39:49.056272,21,35,100,26480,N/A
32,2026-02-04T14:39:56.066615,11,45,100,29083,N/A
26,2026-02-04T14:40:03.886283,45,74,100,25272,N/A
25,2026-02-04T14:40:11.231456,12,75,100,29247,N/A
43,2026-02-04T14:40:18.592485,54,32,100,27384,N/A
36,2026-02-04T14:40:25.961610,98,53,100,25097,N/A
30,2026-02-04T14:40:33.239222,95,63,100,24927,N/A
38,2026-02-04T14:40:40.119628,68,43,100,25658,N/A
53,2026-02-04T14:40:46.641769,42,6,100,28739,N/A
45,2026-02-04T14:40:53.299211,2,25,100,28767,N/A
40,2026-02-04T14:41:00.661226,84,60,100,25140,N/A
51,2026-02-04T14:41:07.454669,96,20,100,28482,N/A
29,2026-02-04T14:41:14.828786,43,86,100,25960,N/A
41,2026-02-04T14:41:22.054023,27,68,100,27774,N/A
37,2026-02-04T14:41:29.628747,39,79,100,25480,N/A
34,2026-02-04T14:41:36.883855,14,83,100,29851,N/A
58,2026-02-04T14:41:44.195661,77,21,100,28610,N/A
46,2026-02-04T14:41:51.526692,99,48,100,25280,N/A
50,2026-02-04T14:41:58.532357,100,44,100,25633,N/A
47,2026-02-04T14:42:05.895489,58,53,100,24969,N/A
48,2026-02-04T14:42:13.046362,51,51,100,25240,N/A
35,2026-02-04T14:42:20.793824,96,91,100,24365,N/A
61,2026-02-04T14:42:27.375593,41,15,100,28849,N/A
63,2026-02-04T14:42:33.956581,46,14,100,28849,N/A
44,2026-02-04T14:42:41.436507,23,75,100,28250,N/A
49,2026-02-04T14:42:49.073885,95,56,100,25153,N/A
54,2026-02-04T14:42:56.291788,95,54,100,25649,N/A
52,2026-02-04T14:43:03.855707,60,66,100,25303,N/A
57,2026-02-04T14:43:11.034054,46,53,100,25028,N/A
56,2026-02-04T14:43:18.166145,33,63,100,28111,N/A
59,2026-02-04T14:43:25.556603,9,55,100,29250,N/A
62,2026-02-04T14:43:32.952015,13,51,100,29335,N/A
60,2026-02-04T14:43:40.626797,5,62,100,29233,N/A
55,2026-02-04T14:43:47.972334,5,79,100,29508,N/A
64,2026-02-04T14:43:55.399821,73,55,100,25067,N/A
65,2026-02-04T14:44:02.306286,31,54,100,28070,N/A
66,2026-02-04T14:44:09.827670,57,54,100,25385,N/A
67,2026-02-04T14:44:17.338186,49,91,100,27865,N/A
68,2026-02-04T14:44:24.834401,24,84,100,28255,N/A
69,2026-02-04T14:44:32.530964,89,51,100,25269,N/A
70,2026-02-04T14:44:38.921530,65,8,100,28784,N/A
71,2026-02-04T14:44:45.449032,46,5,100,28662,N/A
72,2026-02-04T14:44:52.305815,65,38,100,25640,N/A
73,2026-02-04T14:44:59.840100,92,81,100,24678,N/A
74,2026-02-04T14:45:07.111656,52,71,100,25564,N/A
75,2026-02-04T14:45:14.435953,35,65,100,25519,N/A
76,2026-02-04T14:45:21.650433,50,58,100,25359,N/A
77,2026-02-04T14:45:28.369225,34,21,100,28504,N/A
78,2026-02-04T14:45:35.931295,53,84,100,25566,N/A
79,2026-02-04T14:45:43.273939,69,49,100,25301,N/A
80,2026-02-04T14:45:50.750655,57,85,100,25498,N/A
81,2026-02-04T14:45:58.765279,79,88,100,24995,N/A
82,2026-02-04T14:46:06.480900,71,94,100,25056,N/A
83,2026-02-04T14:46:13.467318,69,41,100,25619,N/A
84,2026-02-04T14:46:20.731445,27,70,100,28269,N/A
85,2026-02-04T14:46:28.435820,92,65,100,24986,N/A
86,2026-02-04T14:46:35.471359,69,46,100,25215,N/A
87,2026-02-04T14:46:42.281091,84,40,100,25408,N/A
88,2026-02-04T14:46:49.097757,16,38,100,29020,N/A
89,2026-02-04T14:46:56.695873,5,93,100,29696,N/A
90,2026-02-04T14:47:03.810963,53,52,100,25203,N/A
91,2026-02-04T14:47:10.144532,94,5,100,28314,N/A
92,2026-02-04T14:47:17.108688,46,62,100,25524,N/A
93,2026-02-04T14:47:24.913481,67,88,100,25264,N/A
